Date,Austria,Belgium,Bulgaria,Czechia,Denmark,Finland,France,Germany,Ireland,Italy,Poland,Portugal,Romania,Spain
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,1,3,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,1,0,2,0,0,0,0
2020-01-31,0,0,0,0,0,0,1,3,0,0,0,0,0,1
2020-02-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2020-02-03,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2020-02-07,0,0,0,0,0,0,5,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0,0,17,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0,0,42,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,0,0,93,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0,74,0,0,0,0
2020-02-24,2,0,0,0,0,0,2,1,0,93,0,0,0,4
