Date,Austria,Belgium,Bulgaria,Czechia,Denmark,Finland,France,Germany,Ireland,Italy,Poland,Portugal,Romania,Spain
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2020-02-25,0,0,0,0,0,0,1,0,0,2,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,8,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2020-03-01,0,0,0,0,0,0,1,0,0,18,0,0,0,0
2020-03-02,0,0,0,0,0,0,1,0,0,27,0,0,0,1
2020-03-03,0,0,0,0,0,0,0,0,0,28,0,0,0,1
2020-03-04,0,0,0,0,0,0,2,0,0,41,0,0,0,1
2020-03-05,0,0,0,0,0,0,3,0,0,49,0,0,0,2
2020-03-06,0,0,0,0,0,0,2,0,0,36,0,0,0,5
2020-03-07,0,0,0,0,0,0,8,0,0,133,0,0,0,7
2020-03-08,0,0,0,0,0,0,0,2,0,97,0,0,0,11
2020-03-09,0,0,0,0,0,0,14,0,0,168,0,0,0,7
2020-03-10,0,3,1,0,0,0,15,1,1,196,0,0,0,19
2020-03-11,1,0,0,0,0,0,0,0,0,189,1,0,0,1
2020-03-12,0,0,0,0,0,0,31,4,0,250,1,0,0,78
