Country/Region,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,6,6,6,6,1,9,9,9,9,9,9,9,9,112,225,225,479,636,1095,1436,1749,2022,2507,2998,3463,4046,4512,5240,6064,6604,6987,7343,7633,8098,8986,9704,10214,10501,10631,10971,11328,11694,11872,12103,12282,12362,12580,12779,12907,13110,13180,13228,13316,13462,13639,13698,13836,13928,13991,14061,14148,14304,14405,14471,14524,14563,14614,14678,14882,14951,15005,15037,15063,15138,15182,15228,15286,15347,15520,15593,15596,15629,15672,15717,15742,15789,15793,15839,15875,15910,15949,15985,16012,16059,16066,16089,16099,16101,16141,16175,16197,16241,16261,16282,16320,16348,16371,16401,16420,16478,16491,16514,16558,16607,16615,16647,16686,16721
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,31,1,263,263,263,461,547,675,858,1063,1359,1527,1696,2132,2495,2872,3247,3751,3986,4157,4681,5164,5568,5986,6463,6707,6868,7107,7562,7961,8348,8757,8895,9002,9433,9800,10122,10417,10785,10878,10943,11283,11576,11892,12211,12309,12378,12441,12731,12980,13201,13411,13642,13697,13732,13937,14111,14301,14460,14630,14657,14687,14847,14988,15123,15155,15272,15297,15320,15465,15572,15682,15769,15887,15919,15934,15959,16048,16112,16190,16291,16315,16324,16392,16453,16498,16547,16589,16610,16625,16684,16724,16751,16771,16771,16771,16771,16771,16890,16918,16941,16941,16941,16984,17021,17044,17073,17091,17091,17091,17122,17138
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,8,9,11,14,17,17,20,25,30,34,37,39,42,42,48,54,62,68,71,81,105,122,141,153,161,167,170,174,190,197,197,205,206,222,243,266,276,287,308,321,342,360,384,401,422,444,461,476,499,531,545,573,598,612,646,684,727,769,808,840,862,880,912,965,1016,1064,1074,1090,1123,1206,1322,1390,1545,1548,1587,1623,1664,1688,1716,1723,1730,1784,1817,1880,1941,2008,2027,2074,2171,2217,2263,2370,2457,2475,2508,2582,2676,2722,2802,2892,2898,2915,3000,3037,3166
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,4,5,5,5,5,5,5,22,22,37,45,52,67,67,73,88,92,119,125,130,167,179,219,231,323,373,400,415,473,529,600,615,709,771,801,869,883,982,1034,1103,1166,1232,1288,1348,1421,1463,1489,1522,1560,1601,1641,1689,1726,1764,1784,1808,1834,1850,1869,1913,1936,1946,1967,1978,1978,2011,2023,2027,2035,2046,2047,2051,2059,2063,2072,2077,2088,2095,2105,2113,2121,2126,2128,2130,2130,2132,2133,2134,2134,2140,2140,2141,2142,2142,2142,2142,2142,2142,2145,2149,2150,2152,2152,2155,2155,2155,2155,2168,2183,2196,2210,2229,2277
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,15,15,15,22,23,28,28,28,33,37,45,47,52,53,58,61,65,65,65,65,77,77,79,81,81,98,98,98,98,148,148,148,148,148,296,296,296,296,296,296,296,400,400,401,401,401,449,449,481,481,515,515,515,515,516,561,561,594,594,594,594,594,784,784,790,790,790,790,790,790,807,807,807,807,807,807,807,807,807,807,807,816,816,818,818,824,824,824,824,824,824,824,824,833,833,833,833,833,839,839,839,839,839,839
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,6,6,6,10,10,10,11,11,11,25,45,61,67,72,78,96,121,172,233,301,346,411,464,519,642,819,972,1174,1227,1298,1559,1753,1989,2152,2371,2453,2545,2826,2948,3108,3314,3372,3461,3587,3807,4006,4205,4371,4413,4447,4474,4711,4889,5047,5241,5381,5422,5462,5641,5726,5830,5926,6025,6044,6078,6182,6270,6370,6460,6500,6546,6558,6642,6686,6749,6809,6881,6885,6891,6994,7053,7111,7166,7215,7219,7226,7296,7358,7399,7440,7473,7477,7499,7537,7555,7588,7649,7668,7682,7705,7746,7771,7797,7822,7848,7852,7864,7873,7910,8010
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,894,1089,1193,1283,1327,1378,1491,1621,1736,1773,1955,2123,2235,2515,2748,3023,3389,3847,4141,4312,4700,5087,5384,5526,5669,5805,5959,6121,6366,6546,6729,6889,6987,7088,7296,7493,7711,7927,8093,8217,8328,8580,8663,8805,8959,9107,9227,9301,9416,9536,9643,9764,9836,9900,9964,10044,10106,10180,10240,10327,10362,10412,10489,10552,10620,10653,10721,10755,10792,10849,10904,10955,10993,11035,11068,11090,11125,11185,11242,11282,11282,11282,11347,11393,11422,11460,11508,11508,11508,11612,11649,11693,11769,11817,11817,11817,11935,11983,12001
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,7,8,8,11,20,20,20,26,33,45,48,59,62,62,69,72,83,93,93,98,102,115,117,133,145,162,164,165,169,184,192,206,228,233,233,240,236,249,253,256,259,259,261,264,273,704,747,750,751,777,777,909,923,934,938,938,938,956,1488,1508,1526,1532,1538,1552,1561,1574,1610,1622,1624,1625,1632,1650,1663,1667,1675,1681,1683,1684,1690,1697,1703,1705,1705,1717,1728,1743,1748,1755,1758,1764,1765,1771,1783,1790,1797,1812,1818,1818,1829,1836,1842,1859,1870,1874,1875,1880,1882
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1700,1700,1700,1700,2000,2000,2000,2000,2500,2500,2500,2500,2800,2800,3000,3000,3000,3000,3500,3500,3500,3500,4000,4000,4000,4000,4300,4300,4300,5000,5000,5000,5000,5000,4800,4800,4800,4800,4800,5100,5100,5100,5500,5500,5500,5500,5500,5500,5500,5800,5800,5800,5800,5800,5800,5800,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6400,6400,6600,6600,6600,6600,6600,6600,6600,6700,6700,6700,6700,6700,6700,6700,6800
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,4,4,4,4,4,4,4,4,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2200,2200,3243,3900,4948,5700,5700,7202,7927,9444,10934,12428,14008,15438,16183,17250,19337,21254,23206,24932,26391,27186,27718,28512,30440,32297,33834,35379,35973,36782,38543,39988,41414,42715,43816,44125,44733,45997,47338,48572,49300,49751,49973,50438,51803,53022,54076,54770,54886,55062,55569,56617,57368,58300,59143,59142,59907,60416,61246,61713,62216,62557,62893,62961,63542,64222,64503,65098,65599,66051,66123,66120,66485,67031,67510,68007,68282,68283,68319,68736,69032,69344,69578,69783,69820,69719,69943,70223,70322,70496,70641,70661,70737,70952,71138,71322,71550,71455,71455,71595,71714,71879,72054,72181,72092,72092,72233,72363,72133
