Date,Austria,Belgium,Bulgaria,Czechia,Denmark,Finland,France,Germany,Ireland,Italy,Poland,Portugal,Romania,Spain
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,1,2,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,1,2,1,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,1,2,1,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,1,4,1,0,0,0,0,0,2
2020-02-16,0,0,0,0,0,1,4,1,0,0,0,0,0,2
2020-02-17,0,1,0,0,0,1,4,1,0,0,0,0,0,2
2020-02-18,0,1,0,0,0,1,4,12,0,0,0,0,0,2
2020-02-19,0,1,0,0,0,1,4,12,0,0,0,0,0,2
2020-02-20,0,1,0,0,0,1,4,12,0,0,0,0,0,2
2020-02-21,0,1,0,0,0,1,4,14,0,0,0,0,0,2
2020-02-22,0,1,0,0,0,1,4,14,0,1,0,0,0,2
2020-02-23,0,1,0,0,0,1,4,14,0,2,0,0,0,2
2020-02-24,0,1,0,0,0,1,4,14,0,1,0,0,0,2
2020-02-25,0,1,0,0,0,1,11,14,0,1,0,0,0,2
2020-02-26,0,1,0,0,0,1,11,15,0,3,0,0,0,2
2020-02-27,0,1,0,0,0,1,11,16,0,45,0,0,0,2
2020-02-28,0,1,0,0,0,1,11,16,0,46,0,0,0,2
2020-02-29,0,1,0,0,0,1,12,16,0,46,0,0,0,2
2020-03-01,0,1,0,0,0,1,12,16,0,83,0,0,0,2
2020-03-02,0,1,0,0,0,1,12,16,0,149,0,0,0,2
2020-03-03,0,1,0,0,0,1,12,16,0,160,0,0,0,2
2020-03-04,0,1,0,0,0,1,12,16,0,276,0,0,1,2
2020-03-05,0,1,0,0,0,1,12,16,0,414,0,0,1,2
2020-03-06,0,1,0,0,1,1,12,17,0,523,0,0,1,2
2020-03-07,0,1,0,0,1,1,12,18,0,589,0,0,3,30
2020-03-08,0,1,0,0,1,1,12,18,0,622,0,0,3,30
2020-03-09,2,1,0,0,1,1,12,18,0,724,0,0,3,32
2020-03-10,4,1,0,0,1,1,12,18,0,724,0,0,3,32
2020-03-11,4,1,0,0,1,1,12,25,0,1045,0,0,6,183
2020-03-12,4,1,0,0,1,1,12,25,0,1045,0,0,6,183
